"","id_plot","av_annual_pp","av_annual_mean_tp","av_annual_min_tp","av_annual_max_tp","int","t0","t1"
"1415",7409704101,954,0.175,-5.74,6.095,15,"C","C"
"1416",7409704102,954,0.185,-5.735,6.1,15,"C","C"
"1417",7409704201,973,1.29,-4.365,6.945,18,"C","C"
"1418",7409704301,975,-0.15,-6.035,5.745,15,"C","C"
"1419",7409704502,990,-0.335,-6.215,5.54,15,"C","C"
"1420",7409800101,1346.5,0.57,-4.74,5.875,12,"C","C"
"1421",7409800102,1355,0.475,-4.83,5.77,12,"C","C"
"1422",7409800201,1304.5,0.73,-4.635,6.095,12,"T","T"
"1423",7409800202,1305,0.73,-4.625,6.095,12,"T","M"
"1424",7409800301,1205,1.415,-4.015,6.845,12,"C","C"
"1425",7409800402,1009,3.12,-2.525,8.765,9,"M","M"
"1426",7409800501,1293,0.535,-4.79,5.865,12,"M","C"
"1427",7409800701,1119.5,2.18,-3.215,7.565,9,"M","M"
"1428",7409800702,1150.5,1.835,-3.545,7.21,9,"M","C"
"1429",7409800801,1035.5,2.62,-2.905,8.145,9,"M","M"
"1430",7409800802,1019,2.82,-2.71,8.35,9,"T","M"
"1431",7409800901,1001,3.33,-2.22,8.88,12,"T","C"
"1432",7409800902,999.5,3.355,-2.2,8.905,12,"T","M"
"1433",7409801001,995.5,3.38,-2.175,8.93,12,"C","C"
"1434",7409801002,1013,3.14,-2.395,8.665,12,"T","M"
"1435",7409801202,962.5,3.125,-2.46,8.71,9,"M","M"
"1436",7409801501,1039.5,2.65,-2.76,8.05,9,"C","C"
"1437",7409801502,1052.5,2.5,-2.895,7.9,9,"T","T"
"1438",7409801702,1048.5,2.565,-2.8,7.925,9,"M","M"
"1439",7409801801,1015.5,2.455,-3.02,7.93,9,"T","M"
"1440",7409801802,1015.5,2.455,-3.015,7.925,9,"M","M"
"1441",7409802001,1015,2.9,-2.595,8.39,12,"T","T"
"1442",7409802101,1087,1.38,-4.065,6.825,12,"T","T"
"1443",7409802201,964,2.735,-2.845,8.32,9,"C","C"
"1444",7409802202,964,2.745,-2.845,8.33,9,"T","T"
"1445",7409802301,961,2.695,-2.925,8.315,9,"M","C"
"1446",7409802302,948,2.875,-2.76,8.5,9,"C","C"
"1447",7409802401,960,2.425,-3.205,8.055,9,"C","C"
"1448",7409802402,960,2.425,-3.205,8.055,9,"C","C"
"1449",7409802501,995,1.025,-4.615,6.665,12,"C","C"
"1450",7409802502,997,1.01,-4.63,6.655,12,"M","M"
"1451",7409802601,977.5,0.94,-4.76,6.635,12,"C","C"
"1452",7409802701,983,0.865,-4.805,6.54,12,"M","M"
"1453",7409802702,983,0.865,-4.81,6.535,12,"C","C"
"1454",7409803001,1041.5,1.215,-4.27,6.69,15,"C","C"
"1455",7409803002,1041.5,1.215,-4.27,6.69,15,"T","C"
"1456",7501000301,951,3.245,-2.245,8.74,12,"C","C"
"1457",7501000302,950.5,3.25,-2.24,8.74,12,"C","C"
